name,target_rva,target_size,source,notes
?_M_insert@?$_Rb_tree@IU?$pair@$$CBIUGen_t_009009f0_m12pod@@@_STL@@U?$_Select1st@U?$pair@$$CBIUGen_t_009009f0_m12pod@@@_STL@@@2@U?$less@I@2@V?$allocator@U?$pair@$$CBIUGen_t_009009f0_m12pod@@@_STL@@@2@@_STL@@AAE?AU?$_Rb_tree_iterator@U?$pair@$$CBIUGen_t_009009f0_m12pod@@@_STL@@U?$_Nonconst_traits@U?$pair@$$CBIUGen_t_009009f0_m12pod@@@_STL@@@2@@2@PAU_Rb_tree_node_base@2@0ABU?$pair@$$CBIUGen_t_009009f0_m12pod@@@2@0@Z,0x008FFDE0,176,Code/gen_small/fam_006.cpp,reloc-derived;call-sites=9;identity=generated
?insert_unique@?$_Rb_tree@IU?$pair@$$CBIUGen_t_009009f0_m12pod@@@_STL@@U?$_Select1st@U?$pair@$$CBIUGen_t_009009f0_m12pod@@@_STL@@@2@U?$less@I@2@V?$allocator@U?$pair@$$CBIUGen_t_009009f0_m12pod@@@_STL@@@2@@_STL@@QAE?AU?$pair@U?$_Rb_tree_iterator@U?$pair@$$CBIUGen_t_009009f0_m12pod@@@_STL@@U?$_Nonconst_traits@U?$pair@$$CBIUGen_t_009009f0_m12pod@@@_STL@@@2@@_STL@@_N@2@ABU?$pair@$$CBIUGen_t_009009f0_m12pod@@@2@@Z,0x008FFE90,145,Code/gen_small/fam_006.cpp,reloc-derived;call-sites=4;identity=generated
??1Gen_dtor_009020e0@@UAE@XZ,0x00900FF0,366,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
?Set_Render_Target@DX8Wrapper@@SAXPAUIDirect3DSurface8@@_N@Z,0x009052B0,438,Code/Libraries/Source/WWVegas/WW3D2/DX8Wrapper_Set_Render_Target_SwapChain_Thunk.cpp,reloc-derived;call-sites=1;identity=real
?Set_DX8_ZBias@DX8Wrapper@@SAXH@Z,0x00905990,286,Code/Libraries/Source/WWVegas/WW3D2/dx8wrapper.cpp,reloc-derived;call-sites=1;identity=real
?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z,0x00905AC0,74,Code/Libraries/Source/WWVegas/WW3D2/boxrobj.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00907550@@UAE@XZ,0x00906410,45,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_00907570@@UAE@XZ,0x00906630,45,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
?Get_Render_Target_Resolution@WW3D@@SAXAAH00AA_N@Z,0x00906990,195,Code/Libraries/Source/WWVegas/WW3D2/camera.cpp,reloc-derived;call-sites=1;identity=real
?Draw_Triangles@DX8Wrapper@@SAXIGGGG@Z,0x00906D70,114,Code/Libraries/Source/WWVegas/WW3D2/boxrobj.cpp,reloc-derived;call-sites=1;identity=real
