target_rva,size,literal,reference_source,candidate_function,port
0x00090FB0,102,ShowProps,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/OptionsMenu.cpp,OptionsMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/OptionsMenu.cpp
0x006583F0,99,%d/%d/%d,GameEngine/Source/GameNetwork/GameSpy/Thread/PersistentStorageThread.cpp,PSThreadClass::Thread_Function,Code/GameEngine/Source/GameNetwork/GameSpy/Thread/PersistentStorageThread.cpp
0x004DF940,99,SaveLoadMenuFade,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupSaveLoad.cpp,SaveLoadMenuShutdown,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupSaveLoad.cpp
0x00090880,95,UseCameraInReplays,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/OptionsMenu.cpp,OptionPreferences::useCameraInReplays,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/OptionsMenu.cpp
0x004D2680,94,NetworkDirectConnectFade,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/NetworkDirectConnect.cpp,NetworkDirectConnectInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/NetworkDirectConnect.cpp
0x008648B0,93,numplayers,GameEngine/Source/GameNetwork/GameSpy/StagingRoomGameInfo.cpp,GameSpyStagingRoom::generateGameSpyGameResultsPacket,Code/GameEngine/Source/GameNetwork/GameSpy/StagingRoomGameInfo.cpp
0x000904E0,92,Options.ini,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/OptionsMenu.cpp,OptionPreferences,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/OptionsMenu.cpp
0x0042ED50,87,EALogoMovie,GameEngine/Source/GameClient/GameClient.cpp,GameClient::update,Code/GameEngine/Source/GameClient/GameClient.cpp
0x00107340,78,ControlBar.wnd:LeftHUD,GameEngine/Source/Common/System/Radar.cpp,Radar::newMap,Code/GameEngine/Source/Common/System/Radar.cpp
0x004E06E0,75,ReplayMenuFade,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ReplayMenu.cpp,ReplayMenuShutdown,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ReplayMenu.cpp
0x00861E90,56,127.0.0.1,GameEngine/Source/GameNetwork/NetworkUtil.cpp,ResolveIP,Code/GameEngine/Source/GameNetwork/NetworkUtil.cpp
0x0051D9D0,51,00000000.sav,GameEngine/Source/Common/System/SaveGame/GameState.cpp,findHighFileNumber,Code/GameEngine/Source/Common/System/SaveGame/GameState.cpp
