target_rva,size,literal,reference_source,candidate_function,port
0x0078D810,723,BorderCornerUL,GameEngineDevice/Source/W3DDevice/GameClient/GUI/W3DGameWindow.cpp,initBorders,Code/GameEngineDevice/Source/W3DDevice/GameClient/GUI/W3DGameWindow.cpp
0x00168ED0,716, acquiring target enemy player: ,GameEngine/Source/GameLogic/AI/AISkirmishPlayer.cpp,AISkirmishPlayer::acquireEnemy,
0x004C3480,714,Diplomacy.wnd:StaticTextPlayer%d,GameEngine/Source/GameClient/GUI/GUICallbacks/Diplomacy.cpp,grabWindowPointers,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Diplomacy.cpp
0x0033E040,703,***Attempting to set attack priority on an invalid thing:***,GameEngine/Source/GameLogic/ScriptEngine/ScriptEngine.cpp,ScriptEngine::setPriorityThing,
0x00694230,654,Missing Audio File: ',GameEngineDevice/Source/MilesAudioDevice/MilesAudioManager.cpp,AudioFileCache::openFile,Code/GameEngineDevice/Source/MilesAudioDevice/MilesAudioManager.cpp
0x000B1030,648,DefaultSoundEffect,GameEngine/Source/Common/INI/INIAudioEventInfo.cpp,INI::parseAudioEventDefinition,
0x004AF6A0,627,Command_CancelConstruction,GameEngine/Source/GameClient/GUI/ControlBar/ControlBarUnderConstruction.cpp,ControlBar::populateUnderConstruction,
0x004E2100,623,GUI:PleaseSelectAFile,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ReplayMenu.cpp,reallyLoadReplay,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ReplayMenu.cpp
0x00343780,617,***Attempting to call script that is not a subroutine:***,GameEngine/Source/GameLogic/ScriptEngine/ScriptEngine.cpp,ScriptEngine::runScript,
0x004D8440,607,RCGameDetailsMenu.wnd:ButtonLadderDetails,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupLadderSelect.cpp,RCGameDetailsMenuSystem,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupLadderSelect.cpp
0x004FFB80,593,%02.2d,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLLoginMenu.cpp,isAgeOkay,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLLoginMenu.cpp
0x0048D9C0,581,IMECandidateWindow.wnd,GameEngine/Source/GameClient/GUI/IMEManager.cpp,IMEManager::init,
0x00505830,573,WOLQuickMatchMenu.wnd:ParentOptions,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLQuickMatchMenu.cpp,hideOptionsGadgets,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLQuickMatchMenu.cpp
0x004E8050,568,MutiPlayer_ScoreScreen,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ScoreScreen.cpp,grabMultiPlayerInfo,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ScoreScreen.cpp
0x004FF030,548,PopupLocaleSelect.wnd:ParentLocaleSelect,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLLocaleSelectPopup.cpp,WOLLocaleSelectInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLLocaleSelectPopup.cpp
0x005268F0,544,Team:0,GameEngine/Source/GameNetwork/GUIUtil.cpp,PopulateTeamComboBox,
0x00624C80,543,127.0.0.1,GameEngine/Source/GameNetwork/NetworkUtil.cpp,ResolveIP,Code/GameEngine/Source/GameNetwork/NetworkUtil.cpp
0x004B4010,539,GUIComboBoxClick,GameEngine/Source/GameClient/GUI/Gadget/GadgetListBox.cpp,doAudioFeedback,Code/GameEngine/Source/GameClient/GUI/Gadget/GadgetListBox.cpp
0x00627FA0,535,GUI:GPNoProfile,GameEngine/Source/GameNetwork/GameSpyOverlay.cpp,GameSpyOpenOverlay,Code/GameEngine/Source/GameNetwork/GameSpyOverlay.cpp
