twin_rva,size,source,object_symbol,slot_state
0x00845750,38,Code/GameEngine/Source/Common/VectorIntegerInsertOverflowThunk.cpp,??$__copy_backward_ptrs@PAHPAH@_STL@@YAPAHPAH00ABU__true_type@0@@Z,unclaimed
0x00845840,41,Code/GameEngine/Source/Common/Audio/GameAudio.cpp,?__copy_trivial@_STL@@YAPAXPBX0PAX@Z,unclaimed
0x008458B0,38,Code/GameEngine/Source/Common/VectorIntegerInsertOverflowThunk.cpp,??$__copy_backward_ptrs@PAHPAH@_STL@@YAPAHPAH00ABU__true_type@0@@Z,unclaimed
0x008458E0,38,Code/GameEngine/Source/Common/VectorIntegerInsertOverflowThunk.cpp,??$__copy_backward_ptrs@PAHPAH@_STL@@YAPAHPAH00ABU__true_type@0@@Z,unclaimed
0x00846030,41,Code/GameEngine/Source/Common/Audio/GameAudio.cpp,?__copy_trivial@_STL@@YAPAXPBX0PAX@Z,unclaimed
0x008460A0,41,Code/GameEngine/Source/Common/Audio/GameAudio.cpp,?__copy_trivial@_STL@@YAPAXPBX0PAX@Z,unclaimed
0x0084A5C0,10,Code/GameEngine/Source/Common/ConditionalPointerStoreThunk.cpp,?assignSecond@ConditionalPointerStoreThunk@@QAEXPAX@Z,unclaimed
0x00850CF0,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x008511B0,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x0087DD60,10,Code/Libraries/Source/WWVegas/WW3D2/mesh.cpp,?Set_Sort_Level@MeshGeometryClass@@QAEXH@Z,unclaimed
0x0087E8F4,11,Code/GameEngineDevice/Source/W3DDevice/GameClient/FlatHeightMap.cpp,?isCulled@W3DTerrainBackground@@QAE_NXZ,scaffold
0x00882480,10,Code/GameEngine/Source/Common/RTS/Player.cpp,?done@?$DLINK_ITERATOR@VObject@@@@QBE_NXZ,unclaimed
0x008916E0,10,Code/GameEngine/Source/Common/GameEngine.cpp,?setFramesPerSecondLimit@GameEngine@@UAEXH@Z,unclaimed
0x00891720,10,Code/GameEngine/Source/Common/ConditionalPointerStoreThunk.cpp,?assignSecond@ConditionalPointerStoreThunk@@QAEXPAX@Z,unclaimed
0x00892480,22,Code/Libraries/Source/WWVegas/WW3D2/dynamesh.cpp,??9ShaderClass@@QAE_NABV0@@Z,unclaimed
0x00892530,10,Code/GameEngine/Source/Common/ConditionalPointerStoreThunk.cpp,?assignSecond@ConditionalPointerStoreThunk@@QAEXPAX@Z,unclaimed
0x00892570,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x008925B0,10,Code/GameEngine/Source/Common/RTS/Player.cpp,?done@?$DLINK_ITERATOR@VObject@@@@QBE_NXZ,unclaimed
0x008925C0,10,Code/GameEngine/Source/Common/RTS/Player.cpp,?done@?$DLINK_ITERATOR@VObject@@@@QBE_NXZ,unclaimed
0x00894DC0,10,Code/GameEngine/Source/Common/RTS/Player.cpp,?done@?$DLINK_ITERATOR@VObject@@@@QBE_NXZ,unclaimed
0x00894DD0,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x00894DF0,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x00894E40,22,Code/Libraries/Source/WWVegas/WW3D2/dynamesh.cpp,??9ShaderClass@@QAE_NABV0@@Z,unclaimed
0x00894EB0,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x0089C9D0,11,Code/Libraries/Source/WWVegas/WWMath/gridcull.cpp,?Is_Done@GridListIterator@@QAE_NXZ,unclaimed
0x008AB920,10,Code/GameEngine/Source/Common/Audio/AudioEventRTS.cpp,?setHandleToKill@AudioEventRTS@@QAEXI@Z,unclaimed
0x008BF0C0,10,Code/GameEngine/Source/Common/Audio/AudioEventRTS.cpp,?setPlayingHandle@AudioEventRTS@@QAEXI@Z,unclaimed
0x008DCCA0,10,Code/GameEngine/Source/Common/ConditionalPointerStoreThunk.cpp,?assignSecond@ConditionalPointerStoreThunk@@QAEXPAX@Z,unclaimed
0x008DCCE0,10,Code/GameEngine/Source/Common/GameEngine.cpp,?setFramesPerSecondLimit@GameEngine@@UAEXH@Z,unclaimed
0x008F7AE0,25,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint3D@H@@QAE@HHH@Z,unclaimed
0x008F8E00,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x008F8E20,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x008F90F0,22,Code/GameEngine/Source/Common/NameKeyGenerator.cpp,??0?$pair@$$CBW4NameKeyType@@PAVBucket@@@_STL@@QAE@ABW4NameKeyType@@ABQAVBucket@@@Z,unclaimed
0x008F9220,41,Code/GameEngine/Source/Common/Audio/GameAudio.cpp,?__copy_trivial@_STL@@YAPAXPBX0PAX@Z,unclaimed
0x008F9250,38,Code/GameEngine/Source/Common/VectorIntegerInsertOverflowThunk.cpp,??$__copy_backward_ptrs@PAHPAH@_STL@@YAPAHPAH00ABU__true_type@0@@Z,unclaimed
0x008F9290,41,Code/GameEngine/Source/Common/Audio/GameAudio.cpp,?__copy_trivial@_STL@@YAPAXPBX0PAX@Z,unclaimed
0x008F92C0,38,Code/GameEngine/Source/Common/VectorIntegerInsertOverflowThunk.cpp,??$__copy_backward_ptrs@PAHPAH@_STL@@YAPAHPAH00ABU__true_type@0@@Z,unclaimed
0x008F9F50,41,Code/GameEngine/Source/Common/Audio/GameAudio.cpp,?__copy_trivial@_STL@@YAPAXPBX0PAX@Z,unclaimed
0x008F9F80,38,Code/GameEngine/Source/Common/VectorIntegerInsertOverflowThunk.cpp,??$__copy_backward_ptrs@PAHPAH@_STL@@YAPAHPAH00ABU__true_type@0@@Z,unclaimed
0x008F9FB0,41,Code/GameEngine/Source/Common/Audio/GameAudio.cpp,?__copy_trivial@_STL@@YAPAXPBX0PAX@Z,unclaimed
0x008F9FE0,38,Code/GameEngine/Source/Common/VectorIntegerInsertOverflowThunk.cpp,??$__copy_backward_ptrs@PAHPAH@_STL@@YAPAHPAH00ABU__true_type@0@@Z,unclaimed
0x008FA390,41,Code/GameEngine/Source/Common/Audio/GameAudio.cpp,?__copy_trivial@_STL@@YAPAXPBX0PAX@Z,unclaimed
